"release_date","mcu_phase","movie_title","total_profit","production_budget","opening_weekend","domestic_box_office","worldwide_box_office"
"2019-04-26",3,"Avengers: End Game","2397800564","400000000","357115007","858373000","2797800564"
"2018-04-27",3,"Avengers: Infinity War","1748359754","300000000","257698183","678815482","2048359754"
"2021-12-17",4,"Spider-Man: No Way Home","1691108035","200000000","260138569","803975784","1891108035"
"2012-05-04",1,"The Avengers","1290100211","225000000","207438708","623357910","1515100211"
"2018-02-16",3,"Black Panther","1136494321","200000000","202003951","700059566","1336494321"
"2015-05-01",2,"Avengers: Age of Ultron","1030316979","365000000","191271109","459005868","1395316979"
"2013-05-03",2,"Iron Man 3","1015392272","200000000","174144585","408992272","1215392272"
"2019-07-02",3,"Spider-Man: Far From Home","972532832","160000000","92579212","390532085","1132532832"
"2019-03-08",3,"Captain Marvel","954727388","175000000","153433423","426829839","1129727388"
"2016-05-06",3,"Captain America: Civil War","901918521","250000000","179139142","408084349","1151918521"
"2017-07-07",3,"Spider-Man: Homecoming","703346440","175000000","117027503","334201140","878346440"
"2017-11-03",3,"Thor: Ragnarok","670482778","180000000","122744989","315058289","850482778"
"2017-05-05",3,"Guardians of the Galaxy Vol. 2","669113101","200000000","146510104","389813101","869113101"
"2014-08-01",2,"Guardians of the Galaxy","600882395","170000000","94320883","333714112","770882395"
"2014-04-04",2,"Captain America: The Winter Soldier","544401889","170000000","95023721","259746958","714401889"
"2016-11-04",3,"Doctor Strange","511354481","165000000","85058311","232641920","676354481"
"2013-11-08",2,"Thor: The Dark World","494602516","150000000","85737841","206362140","644602516"
"2018-07-06",3,"Ant-Man and the Wasp","493144660","130000000","75812205","216648740","623144660"
"2010-05-07",1,"Iron Man 2","451156389","170000000","128122480","312433331","621156389"
"2008-05-02",1,"Iron Man","399171547","186000000","102118668","318604126","585171547"
"2015-07-17",2,"Ant-Man","388858449","130000000","57225526","180202163","518858449"
"2011-05-06",1,"Thor","299326618","150000000","65723338","181030624","449326618"
"2021-09-03",4,"Shang-Chi and the Legend of the Ten Rings","282243292","150000000","75388688","224543292","432243292"
"2011-07-22",1,"Captain America: The First Avenger","230569776","140000000","65058524","176654505","370569776"
"2021-11-05",4,"Eternals","202064929","200000000","71297219","164870264","402064929"
"2021-07-09",4,"Black Widow","179751655","200000000","80366312","183651655","379751655"
"2008-06-13",1,"The Incredible Hulk","128073859","137500000","55414050","134806913","265573859"
