"release_date","mcu_phase","movie_title","tomato_meter","audience_score"
"2008-05-02",1,"Iron Man",94,91
"2008-06-13",1,"The Incredible Hulk",67,70
"2010-05-07",1,"Iron Man 2",72,71
"2011-05-06",1,"Thor",77,76
"2011-07-22",1,"Captain America: The First Avenger",79,75
"2012-05-04",1,"The Avengers",91,91
"2013-05-03",2,"Iron Man 3",79,78
"2013-11-08",2,"Thor: The Dark World",66,75
"2014-04-04",2,"Captain America: The Winter Soldier",90,92
"2014-08-01",2,"Guardians of the Galaxy",92,92
"2015-05-01",2,"Avengers: Age of Ultron",76,83
"2015-07-17",2,"Ant-Man",83,85
"2016-05-06",3,"Captain America: Civil War",90,89
"2016-11-04",3,"Doctor Strange",89,86
"2017-05-05",3,"Guardians of the Galaxy Vol. 2",85,87
"2017-07-07",3,"Spider-Man: Homecoming",92,87
"2017-11-03",3,"Thor: Ragnarok",93,87
"2018-02-16",3,"Black Panther",96,79
"2018-04-27",3,"Avengers: Infinity War",85,91
"2018-07-06",3,"Ant-Man and the Wasp",87,81
"2019-03-08",3,"Captain Marvel",79,45
"2019-04-26",3,"Avengers: End Game",94,90
"2019-07-02",3,"Spider-Man: Far From Home",90,95
"2021-07-09",4,"Black Widow",79,91
"2021-09-03",4,"Shang-Chi and the Legend of the Ten Rings",91,98
"2021-11-05",4,"Eternals",47,78
"2021-12-17",4,"Spider-Man: No Way Home",93,98
