"movie_title","franchise_name"
"Ant-Man","Ant-Man"
"Ant-Man and the Wasp","Ant-Man"
"Avengers: Age of Ultron","Avengers"
"Avengers: Infinity War","Avengers"
"The Avengers","Avengers"
"Avengers: End Game","Avengers"
"Black Panther","Black Panther"
"Black Widow","Black Widow"
"Captain America: The First Avenger","Captain América"
"Captain America: Civil War","Captain América"
"Captain America: The Winter Soldier","Captain América"
"Captain Marvel","Captain Marvel"
"Doctor Strange","Doctor Strange"
"Eternals","Eternals"
"Guardians of the Galaxy","Guardians of the Galaxy"
"Guardians of the Galaxy Vol. 2","Guardians of the Galaxy"
"The Incredible Hulk","Hulk"
"Iron Man 2","Iron Man"
"Iron Man","Iron Man"
"Iron Man 3","Iron Man"
"Shang-Chi and the Legend of the Ten Rings","Shang-Chi"
"Spider-Man: Homecoming","Spider-Man"
"Spider-Man: No Way Home","Spider-Man"
"Spider-Man: Far From Home","Spider-Man"
"Thor: The Dark World","Thor"
"Thor: Ragnarok","Thor"
"Thor","Thor"
